,respid,sample,int_date,fcall,attempt,refusal,lang,cregion,state,usr,scregion,sstate,susr,sdensity,timezone,comp,isex,irace1m1,irace1m2,irace1m3,irace1m4,ihisp1,form,phtype,qs1,q1,q2,q10af1,q10bf1,q14f2,q19,q20,q25,q33af1,q33bf1,q33cf1,q33df1,q33ff2,q33gf2,q33hf2,q33if2,q33jf2,q34f1,q44af1,q44bf1,q44cf1,q44ef1,q44ff1,q44gf1,q44hf2,q44if2,q44jf2,q44kf2,q44lf2,q44mf2,q44nf2,q47,q48f1,q49f2,q50a,q50b,q50c,q50d,q50e,q50ff1,q54f2,q55f1,q56f2,q57f2,q58,q60,q61a,q61b,q61c,q61df1,q61ef1,q61ff2,q61gf2,q61hf2,q61if1,q64,q65a,q65b,q65c,q65d,q65e,q66,q67,q68a,q68b,q68d,q69,q70,q70a,q71,q75,q76f1,q77f2,qi1,sex,age,educ,hisp,racecmb,racethn,birth_hisp,relig,chr,qf2,born,attend,income,reg,party,partyln,partysum,ideo,partyideo,partysumideo,hh1,hh3,adults,ql1,ql1a,qc1,ll,cp,money2,weight
33,43.0,Landline,190320.0,190320.0,1.0,No,English,South,NC,S,South,NC,S,4.0,Eastern,Complete,Male,White,,,,No,FORM 1,Unknown,,Dissatisfied,Disapprove,Disapprove,Disapprove,,Most of the time,Frustrated,Only some of the time,Not trustworthy,Able to get things done,Not a strong leader,Doesn't care about people like me,,,,,,Too impulsive,Increase spending,Increase spending,Increase spending,Increase spending,Increase spending,Keep spending the same,,,,,,,,"No, not keeping promises",None at all,,Statement #1,Statement #2,Statement #2,Statement #1,Statement #2,Statement #1,,"Bigger government, more services",,,Favor,Never fair game,Some,A lot,None at all,A lot,Some,,,,None at all,Moderately fair,A lot,Not too much,A lot,A lot,A lot,Losing influence,Bad thing,Friendly toward religion,Neutral toward religion,Neutral toward religion,Should keep out of political matters,Disapprove,Very strongly,Not too well,A lot,Definitely done things that are illegal,,A few times a week,Male,50.0,High school graduate (Grade 12 with diploma or GED certificate),No,Mixed Race,Other,,Protestant,,Very important,"Yes, would",Once a week,"75 to under $100,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Democrat,Dem/lean Dem,Conservative,Ind,Cons-Mod Dem/ln Dem,3.0,2.0,2,"Yes, have cell phone",,,Landline,Cellphone,,0.9321911
34,44.0,Landline,190320.0,190320.0,1.0,No,English,South,TX,R,South,TX,R,Lowest,Central,Complete,Female,White,,,,No,FORM 1,Listed Household,,Satisfied,Approve,Approve,Approve,,Some of the time,Frustrated,Just about always,Trustworthy,Not able to get things done,A strong leader,Cares about people like me,,,,,,About right,Keep spending the same,Keep spending the same,Keep spending the same,Increase spending,Keep spending the same,Increase spending,,,,,,,,"Yes, keeping promises",A fair amount,,Statement #1,Statement #1,Statement #1,Statement #2,Statement #2,Statement #2,,"Bigger government, more services",,,Favor,Sometimes fair game [OR IS IT],Some,Some,Only a little,Some,None at all,,,,Only a little,Moderately fair,Not too much,A lot,Not too much,Not at all,Some,Losing influence,Good thing,Friendly toward religion,Friendly toward religion,Neutral toward religion,Should keep out of political matters,Approve,Not so strongly,Not at all well,Nothing at all,Probably not done things that are illegal [OR],,Several times a day,Female,31.0,"Some college, no degree (includes some community college)",No,White,White non-Hispanic,,Protestant,,Somewhat important,"Yes, would",Once or twice a month,"50 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Republican,Rep/lean Rep,Moderate,Ind,Mod-Lib Rep/ln Rep,3.0,3.0,3 or more,"Yes, have cell phone",,,Landline,Cellphone,,2.3965427
35,45.0,Landline,190320.0,190320.0,1.0,No,English,South,TN,U,South,TN,U,4.0,Central,Complete,Female,White,,,,No,FORM 1,Listed Household,,(VOL) Don't know/Refused,(VOL) Don't know/Refused,(VOL) Don't know/Refused,(VOL) Don't know/Refused,,Only now and then,Angry,Only some of the time,Not trustworthy,Able to get things done,(VOL) Neither particularly,Doesn't care about people like me,,,,,,Too impulsive,Increase spending,Increase spending,Increase spending,Increase spending,Increase spending,Keep spending the same,,,,,,,,(VOL) Don't know/Refused,Not too much,,Statement #1,Statement #1,Statement #2,Statement #1,Statement #1,Statement #1,,"Bigger government, more services",,,Strongly oppose,Sometimes fair game [OR IS IT],Some,A lot,Only a little,Some,Only a little,,,,None at all,Not too fair,Some,A lot,A lot,Some,A lot,Losing influence,Bad thing,Neutral toward religion,Neutral toward religion,Unfriendly toward religion,Should keep out of political matters,Disapprove,Very strongly,Somewhat well,(VOL) Don't know/Refused,Probably done things that are illegal,,A few times a week,Female,60.0,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD, gr",No,Mixed Race,Other,,Catholic,,Somewhat important,"No, would not",Once a week,"100 to under $150,000 [OR]",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,(VOL) Other/Don't know/Refused,DK/Ref-no lean,Moderate,Ind,,3.0,3.0,3 or more,"Yes, have cell phone",,,Landline,Cellphone,,0.9572257
36,46.0,Landline,190320.0,190320.0,1.0,No,English,Midwest,MN,U,Midwest,MN,U,Highest,Central,Complete,Female,White,,,,No,FORM 1,Listed Household,,Satisfied,(VOL) Don't know/Refused,(VOL) Don't know/Refused,(VOL) Don't know/Refused,,Some of the time,Basically content,Most of the time,Trustworthy,Able to get things done,A strong leader,Doesn't care about people like me,,,,,,About right,Keep spending the same,Increase spending,(VOL) Don't know/Refused,Increase spending,(VOL) Don't know/Refused,Increase spending,,,,,,,,(VOL) Don't know/Refused,A fair amount,,Statement #1,Statement #1,Statement #1,Statement #1,Statement #1,Statement #1,,"Smaller government, fewer services",,,Strongly favor,Never fair game,A lot,Some,None at all,Some,Some,,,,None at all,Not too fair,Not at all,Some,A lot,Not too much,A lot,Increasing influence,Good thing,Unfriendly toward religion,Friendly toward religion,Neutral toward religion,Should express their views on day-to-day social and political questions,(VOL) Don't know/Refused,,Somewhat well,A lot,Probably not done things that are illegal [OR],,A few times a month,Female,72.0,Two year associate degree from a college or university,No,White,White non-Hispanic,,Protestant,,Not too important,(VOL) Don't know/Refused,Once a week,"Less than $10,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Republican,Rep/lean Rep,Conservative,Ind,Cons Rep/ln Rep,2.0,1.0,1,"No, do not","Yes, someone in household has cell phone",,Landline,No cellphone,,1.2978819
37,47.0,Landline,190320.0,190320.0,1.0,No,English,South,TX,U,South,TX,U,3.0,Central,Complete,Male,White,,,,No,FORM 1,Listed Household,,Satisfied,Approve,Disapprove,Disapprove,,Most of the time,Frustrated,Only some of the time,Trustworthy,Able to get things done,A strong leader,Cares about people like me,,,,,,About right,Decrease spending,Increase spending,Increase spending,Decrease spending,Increase spending,Keep spending the same,,,,,,,,"Yes, keeping promises",A great deal,,Statement #2,Statement #2,Statement #1,Statement #2,Statement #2,Statement #2,,"Smaller government, fewer services",,,Strongly oppose,Sometimes fair game [OR IS IT],Some,Only a little,A lot,Only a little,A lot,,,,A lot,Moderately fair,Not at all,A lot,Not at all,Not too much,Not at all,Losing influence,Bad thing,Unfriendly toward religion,Friendly toward religion,Friendly toward religion,Should express their views on day-to-day social and political questions,Approve,Very strongly,Somewhat well,A lot,Probably not done things that are illegal [OR],,Several times a day,Female,71.0,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD, gr",No,White,White non-Hispanic,,Protestant,,Very important,"Yes, would",More than once a week,"50 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Rep/lean Rep,Very conservative,Cons Rep,Cons Rep/ln Rep,2.0,2.0,2,"Yes, have cell phone",,,Landline,Cellphone,,0.4634453
38,48.0,Landline,190320.0,190320.0,1.0,No,English,Midwest,NE,R,Midwest,NE,R,Lowest,Central,Complete,Female,White,,,,No,FORM 2,Listed Household,,Dissatisfied,Disapprove,,,Disapprove,Most of the time,Angry,Only some of the time,,,,,Not even tempered,Well informed,Keeps his promises,Stands up for what he believes in,Not a good manager,,,,,,,,Increase spending,,,,,,,"No, not keeping promises",,About the right amount,Statement #1,Statement #1,Statement #1,Statement #1,Statement #1,,Very great deal,,Good for the U.S. [OR],About as important to the U.S. as other NATO member countries,Strongly favor,Never fair game,Some,Some,Some,,,A lot,A lot,A lot,,Moderately fair,Not too much,Some,A lot,Not at all,A lot,Losing influence,Bad thing,Unfriendly toward religion,Friendly toward religion,Neutral toward religion,Should express their views on day-to-day social and political questions,Disapprove,Not so strongly,Very well,A lot,,Definitely done things that are unethical,Several times a day,Female,70.0,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,White non-Hispanic,,Protestant,,Very important,"Yes, would",Once a week,"50 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Rep/lean Rep,Conservative,Cons Rep,Cons Rep/ln Rep,2.0,2.0,2,"Yes, have cell phone",,,Landline,Cellphone,,0.6263906
39,49.0,Landline,190321.0,190320.0,2.0,No,English,Midwest,MO,S,Midwest,MO,S,4.0,Central,Complete,Female,White,,,,No,FORM 1,Unknown,,Dissatisfied,Approve,Approve,Disapprove,,Most of the time,Frustrated,Only some of the time,Trustworthy,Able to get things done,A strong leader,Cares about people like me,,,,,,About right,Decrease spending,Increase spending,Keep spending the same,Keep spending the same,Keep spending the same,Keep spending the same,,,,,,,,"No, not keeping promises",A great deal,,Statement #2,Statement #2,Statement #2,Statement #2,Statement #2,Statement #2,,"Smaller government, fewer services",,,Strongly oppose,Never fair game,Only a little,Only a little,Some,Only a little,A lot,,,,Some,Moderately fair,Some,A lot,A lot,Some,A lot,Losing influence,Bad thing,Unfriendly toward religion,Friendly toward religion,Neutral toward religion,Should keep out of political matters,Approve,Very strongly,Somewhat well,A lot,Probably not done things that are illegal [OR],,Several times a day,Female,65.0,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,White non-Hispanic,,Protestant,,Very important,"Yes, would",Once a week,"75 to under $100,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Rep/lean Rep,Very conservative,Cons Rep,Cons Rep/ln Rep,3.0,3.0,3 or more,"Yes, have cell phone",,,Landline,Cellphone,,0.5355396
40,52.0,Landline,190320.0,190320.0,1.0,No,English,Midwest,IA,U,Midwest,IA,U,3.0,Central,Complete,Female,White,,,,No,FORM 2,Listed Household,,Dissatisfied,Disapprove,,,Approve,Most of the time,Frustrated,Only some of the time,,,,,Not even tempered,Not well informed,Doesn't keep his promises,Doesn't stand up for what he believes in,Not a good manager,,,,,,,,Increase spending,,,,,,,(VOL) Don't know/Refused,,Too little,Statement #1,Statement #1,Statement #1,Statement #1,Statement #2,,Good deal,,Good for the U.S. [OR],About as important to the U.S. as other NATO member countries,Favor,Never fair game,A lot,A lot,None at all,,,A lot,A lot,A lot,,Not too fair,A lot,A lot,A lot,Not at all,A lot,Losing influence,Bad thing,Neutral toward religion,Friendly toward religion,Neutral toward religion,Should keep out of political matters,Disapprove,Not so strongly,Somewhat well,A lot,,Definitely done things that are unethical,A few times a week,Male,59.0,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,White non-Hispanic,,Protestant,,Very important,"Yes, would",Once or twice a month,"$150,000 or more",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Democrat,Dem/lean Dem,Moderate,Ind,Cons-Mod Dem/ln Dem,2.0,2.0,2,"Yes, have cell phone",,,Landline,Cellphone,,0.3264107
41,54.0,Landline,190320.0,190320.0,1.0,No,English,Midwest,WI,S,Midwest,WI,S,3.0,Central,Complete,Female,White,,,,No,FORM 1,Listed Household,,Dissatisfied,Disapprove,Disapprove,Approve,,Most of the time,Frustrated,Only some of the time,Not trustworthy,Not able to get things done,Not a strong leader,Doesn't care about people like me,,,,,,Too impulsive,Increase spending,Decrease spending,Increase spending,Increase spending,Increase spending,Increase spending,,,,,,,,"No, not keeping promises",None at all,,Statement #2,Statement #1,Statement #2,Statement #1,Statement #1,Statement #1,,"Smaller government, fewer services",,,Strongly oppose,Sometimes fair game [OR IS IT],A lot,Only a little,Only a little,A lot,A lot,,,,Only a little,Not too fair,A lot,A lot,A lot,Not at all,A lot,Losing influence,Bad thing,Unfriendly toward religion,Unfriendly toward religion,Neutral toward religion,Should express their views on day-to-day social and political questions,(VOL) Don't know/Refused,,Not too well,A lot,Definitely done things that are illegal,,Once a day,Female,68.0,High school graduate (Grade 12 with diploma or GED certificate),No,White,White non-Hispanic,,Protestant,,Very important,"Yes, would",Never,"Less than $10,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,Dem/lean Dem,Moderate,Cons-Mod Dem,Cons-Mod Dem/ln Dem,1.0,,1,"No, do not",,,Landline,No cellphone,,2.102869
42,55.0,Landline,190320.0,190320.0,1.0,No,English,South,TX,R,South,TX,R,Lowest,Central,Complete,Male,White,,,,No,FORM 2,Unknown,,Dissatisfied,Disapprove,,,Approve,Most of the time,Frustrated,Only some of the time,,,,,Even tempered,Not well informed,Doesn't keep his promises,(VOL) Neither particularly,Not a good manager,,,,,,,,Increase spending,,,,,,,"Yes, keeping promises",,Too little,Statement #2,Statement #1,Statement #1,Statement #2,Statement #1,,Good deal,,Good for the U.S. [OR],More important to other NATO member countries [OR],Strongly favor,Never fair game,A lot,A lot,None at all,,,A lot,Only a little,A lot,,Not too fair,Not at all,Not at all,A lot,Not at all,A lot,Losing influence,Bad thing,Friendly toward religion,Friendly toward religion,Neutral toward religion,Should keep out of political matters,Disapprove,Very strongly,(VOL) Don't know/Refused,A lot,,Probably done things that are unethical,Several times a day,Female,74.0,High school graduate (Grade 12 with diploma or GED certificate),No,White,White non-Hispanic,,Christian,,Very important,"No, would not",Never,"10 to under $20,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,Dem/lean Dem,Liberal [OR],Lib Dem,Lib Dem/ln Dem,1.0,,1,"Yes, have cell phone",,,Landline,Cellphone,,0.8070161
43,58.0,Landline,190320.0,190320.0,1.0,No,English,Midwest,WI,S,Midwest,WI,S,2.0,Central,Complete,Male,White,,,,No,FORM 1,Listed Household,,Dissatisfied,Disapprove,Disapprove,Approve,,Most of the time,Frustrated,Only some of the time,Not trustworthy,Not able to get things done,Not a strong leader,Doesn't care about people like me,,,,,,Too impulsive,Increase spending,Increase spending,Increase spending,Increase spending,Increase spending,(VOL) Don't know/Refused,,,,,,,,"Yes, keeping promises",None at all,,Statement #1,Statement #2,Statement #1,Statement #1,Statement #1,Statement #1,,"Smaller government, fewer services",,,Favor,Never fair game,A lot,A lot,Only a little,A lot,Only a little,,,,Some,Not too fair,A lot,A lot,A lot,Not too much,A lot,Losing influence,(VOL) Don't know/Refused,Friendly toward religion,Friendly toward religion,Neutral toward religion,Should keep out of political matters,Disapprove,Very strongly,Somewhat well,A lot,Definitely done things that are illegal,,A few times a week,Female,77.0,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,White non-Hispanic,,Nothing in particular,,Somewhat important,,A few times a year,"$150,000 or more",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,Dem/lean Dem,Moderate,Cons-Mod Dem,Cons-Mod Dem/ln Dem,2.0,2.0,2,"Yes, have cell phone",,,Landline,Cellphone,,0.5632848
44,59.0,Landline,190320.0,190320.0,1.0,No,English,Midwest,NE,U,Midwest,NE,U,4.0,Central,Complete,Male,White,,,,No,FORM 1,Listed Household,,(VOL) Don't know/Refused,Disapprove,Disapprove,Disapprove,,Most of the time,Frustrated,Only some of the time,Not trustworthy,(VOL) Don't know/Refused,A strong leader,Doesn't care about people like me,,,,,,Too impulsive,Increase spending,Keep spending the same,(VOL) Don't know/Refused,Keep spending the same,Increase spending,Increase spending,,,,,,,,"Yes, keeping promises",Not too much,,Statement #2,Statement #1,Statement #1,Statement #1,Statement #1,Statement #1,,"Bigger government, more services",,,Strongly favor,Never fair game,A lot,A lot,None at all,A lot,None at all,,,,None at all,(VOL) Don't know/Refused,Not at all,Not at all,A lot,Not at all,A lot,Increasing influence,Bad thing,Neutral toward religion,Friendly toward religion,Neutral toward religion,Should keep out of political matters,(VOL) Don't know/Refused,,Not at all well,A lot,Definitely done things that are illegal,,Never,Male,90.0,Two year associate degree from a college or university,No,White,White non-Hispanic,,Jewish,,Not too important,,A few times a year,"30 to under $40,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Democrat,Dem/lean Dem,Moderate,Ind,Cons-Mod Dem/ln Dem,2.0,2.0,2,"Yes, have cell phone",,,Landline,Cellphone,,0.6077878
45,60.0,Landline,190320.0,190320.0,1.0,No,English,South,TX,U,South,TX,U,2.0,Central,Complete,Male,White,,,,No,FORM 2,Unknown,,Dissatisfied,Approve,,,Disapprove,Most of the time,(VOL) Don't know/Refused,Most of the time,,,,,Not even tempered,Well informed,Keeps his promises,Stands up for what he believes in,A good manager,,,,,,,,Increase spending,,,,,,,"No, not keeping promises",,Too little,Statement #2,Statement #2,Statement #1,Statement #1,Statement #1,,Good deal,,Good for the U.S. [OR],More important to other NATO member countries [OR],Oppose,Never fair game,Only a little,Only a little,Only a little,,,Some,Only a little,Some,,Not fair at all,Not too much,A lot,Some,A lot,Not too much,Losing influence,Bad thing,Unfriendly toward religion,Friendly toward religion,Friendly toward religion,Should keep out of political matters,Approve,Not so strongly,Somewhat well,A lot,,Probably done things that are unethical,Once a day,Male,80.0,"Some postgraduate or professional schooling, no postgraduate degree (e.g. some graduate school)",No,White,White non-Hispanic,,Protestant,,Very important,"Yes, would",More than once a week,"100 to under $150,000 [OR]",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Rep/lean Rep,Very conservative,Cons Rep,Cons Rep/ln Rep,2.0,2.0,2,"Yes, have cell phone",,,Landline,Cellphone,,0.3270981
46,61.0,Landline,190320.0,190320.0,1.0,No,English,South,TX,U,South,TX,U,2.0,Central,Complete,Male,White,,,,No,FORM 1,Listed Household,,Dissatisfied,Approve,Approve,Disapprove,,Most of the time,Frustrated,Only some of the time,Trustworthy,Able to get things done,A strong leader,Cares about people like me,,,,,,Too impulsive,Increase spending,Increase spending,Increase spending,Increase spending,Increase spending,Increase spending,,,,,,,,"No, not keeping promises",A fair amount,,Statement #1,Statement #2,Statement #2,Statement #1,Statement #2,Statement #1,,"Smaller government, fewer services",,,Strongly oppose,Never fair game,Some,Only a little,Some,Only a little,Some,,,,Only a little,Moderately fair,Some,A lot,Some,Some,A lot,Losing influence,Bad thing,Friendly toward religion,Friendly toward religion,Friendly toward religion,Should express their views on day-to-day social and political questions,Approve,Not so strongly,Very well,A lot,Probably not done things that are illegal [OR],,Several times a day,Female,81.0,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,White non-Hispanic,,Protestant,,Very important,"Yes, would",More than once a week,"100 to under $150,000 [OR]",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Rep/lean Rep,Very conservative,Cons Rep,Cons Rep/ln Rep,2.0,2.0,2,"Yes, have cell phone",,,Landline,Cellphone,,0.4797175
47,63.0,Landline,190320.0,190320.0,1.0,No,English,Midwest,WI,R,Midwest,WI,R,Lowest,Central,Complete,Male,White,,,,No,FORM 2,Listed Household,,Dissatisfied,Approve,,,Disapprove,Most of the time,Frustrated,Only some of the time,,,,,Even tempered,Well informed,Keeps his promises,Stands up for what he believes in,A good manager,,,,,,,,Keep spending the same,,,,,,,"No, not keeping promises",,About the right amount,Statement #1,Statement #2,Statement #2,Statement #2,Statement #2,,Very great deal,,Bad for the U.S.,More important to other NATO member countries [OR],Oppose,Sometimes fair game [OR IS IT],Some,Some,Some,,,A lot,A lot,A lot,,Not too fair,Not at all,A lot,A lot,Some,A lot,Losing influence,Bad thing,Unfriendly toward religion,Neutral toward religion,Neutral toward religion,Should express their views on day-to-day social and political questions,Approve,Very strongly,Somewhat well,A lot,,Definitely not done things that are unethical,Several times a day,Female,86.0,High school graduate (Grade 12 with diploma or GED certificate),No,White,White non-Hispanic,,Protestant,,Very important,"Yes, would",Once a week,"Less than $10,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Rep/lean Rep,Very conservative,Cons Rep,Cons Rep/ln Rep,1.0,,1,"Yes, have cell phone",,,Landline,Cellphone,,0.9848621
48,65.0,Landline,190320.0,190320.0,1.0,No,English,Midwest,IA,S,Midwest,IA,S,2.0,Central,Complete,Female,White,,,,No,FORM 2,Listed Household,,Satisfied,Approve,,,Disapprove,Most of the time,Frustrated,Only some of the time,,,,,Even tempered,Well informed,Keeps his promises,Stands up for what he believes in,A good manager,,,,,,,,Decrease spending,,,,,,,"No, not keeping promises",,About the right amount,Statement #1,Statement #2,Statement #2,Statement #1,Statement #2,,Not very much,,Good for the U.S. [OR],More important to the U.S. [OR],Strongly oppose,Never fair game,Some,Some,Some,,,Only a little,Only a little,Only a little,,Moderately fair,Some,A lot,A lot,Not at all,A lot,Losing influence,Bad thing,Unfriendly toward religion,Friendly toward religion,Neutral toward religion,Should keep out of political matters,Approve,Very strongly,Somewhat well,A little,,Definitely not done things that are unethical,Several times a day,Male,69.0,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD, gr",No,White,White non-Hispanic,,Protestant,,Very important,"Yes, would",More than once a week,"50 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Rep/lean Rep,Very conservative,Cons Rep,Cons Rep/ln Rep,2.0,2.0,2,"Yes, have cell phone",,,Landline,Cellphone,,0.3991823
49,66.0,Landline,190320.0,190320.0,1.0,No,English,Midwest,MO,S,Midwest,MO,S,3.0,Central,Complete,Female,White,,,,No,FORM 1,Unknown,,Satisfied,Approve,(VOL) Don't know/Refused,Disapprove,,Most of the time,Angry,Only some of the time,Trustworthy,Able to get things done,A strong leader,Cares about people like me,,,,,,Too cautious,Decrease spending,Increase spending,Increase spending,Increase spending,Decrease spending,Decrease spending,,,,,,,,"Yes, keeping promises",A great deal,,Statement #2,Statement #2,(VOL) Neither/Both equally,Statement #2,(VOL) Don't know/Refused,Statement #2,,"Smaller government, fewer services",,,Strongly oppose,Never fair game,Only a little,Only a little,Some,None at all,Some,,,,A lot,Very fair,Not at all,A lot,Not at all,Not at all,Not at all,Losing influence,Bad thing,Unfriendly toward religion,Friendly toward religion,Friendly toward religion,Should express their views on day-to-day social and political questions,Approve,Very strongly,Very well,A little,(VOL) Don't know/Refused,,Several times a day,Female,57.0,"Some college, no degree (includes some community college)",No,White,White non-Hispanic,,Protestant,,Very important,"Yes, would",More than once a week,"40 to under $50,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Rep/lean Rep,Very conservative,Cons Rep,Cons Rep/ln Rep,3.0,3.0,3 or more,"Yes, have cell phone",,,Landline,Cellphone,,1.252933
50,67.0,Landline,190320.0,190320.0,1.0,No,English,South,TX,U,South,TX,U,Highest,Central,Complete,Male,White,,,,No,FORM 2,Unknown,,Dissatisfied,Disapprove,,,Approve,Only now and then,Angry,(VOL) Never,,,,,Not even tempered,Not well informed,Keeps his promises,Stands up for what he believes in,Not a good manager,,,,,,,,Keep spending the same,,,,,,,(VOL) Don't know/Refused,,Too little,Statement #1,Statement #1,Statement #2,Statement #1,Statement #1,,(VOL) Don't know/Refused,,Good for the U.S. [OR],(VOL) Don't know/Refused,Strongly oppose,Sometimes fair game [OR IS IT],A lot,Some,Only a little,,,A lot,(VOL) Don't know/Refused,Some,,Not too fair,Not too much,Some,A lot,Some,Some,Losing influence,Bad thing,Unfriendly toward religion,Friendly toward religion,Neutral toward religion,Should express their views on day-to-day social and political questions,Disapprove,Very strongly,Not at all well,A lot,,Definitely done things that are unethical,Several times a day,Male,69.0,High school graduate (Grade 12 with diploma or GED certificate),No,Black or African-American,Black non-Hispanic,,Muslim,,Very important,,Seldom,"50 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,Dem/lean Dem,Moderate,Cons-Mod Dem,Cons-Mod Dem/ln Dem,2.0,2.0,2,"Yes, have cell phone",,,Landline,Cellphone,,1.9204856
51,70.0,Landline,190320.0,190320.0,1.0,No,English,South,AL,S,South,AL,S,2.0,Central,Complete,Female,White,,,,No,FORM 2,Listed Household,,Dissatisfied,Approve,,,Disapprove,Hardly at all,(VOL) Don't know/Refused,(VOL) Never,,,,,(VOL) Neither particularly,Well informed,Keeps his promises,Stands up for what he believes in,A good manager,,,,,,,,(VOL) Don't know/Refused,,,,,,,"No, not keeping promises",,(VOL) Don't know/Refused,(VOL) Neither/Both equally,(VOL) Don't know/Refused,(VOL) Neither/Both equally,(VOL) Neither/Both equally,Statement #1,,(VOL) Don't know/Refused,,(VOL) Don't know/Refused,(VOL) Don't know/Refused,(VOL) Don't know/Refused,Never fair game,Some,Some,A lot,,,(VOL) Don't know/Refused,None at all,(VOL) Don't know/Refused,,Not fair at all,Not at all,(VOL) Don't know/Refused,Not at all,(VOL) Don't know/Refused,(VOL) Don't know/Refused,Losing influence,Bad thing,Unfriendly toward religion,Neutral toward religion,Neutral toward religion,Should express their views on day-to-day social and political questions,Approve,Very strongly,(VOL) Don't know/Refused,Nothing at all,,Probably not done things that are unethical [OR],Several times a day,Female,(VOL) Don't know/Refused,"Some postgraduate or professional schooling, no postgraduate degree (e.g. some graduate school)",No,White,White non-Hispanic,,Catholic,,Very important,"No, would not",Once a week,(VOL) Don't know/Refused,Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Republican,Rep/lean Rep,Very conservative,Ind,Cons Rep/ln Rep,Don't know/Refused,Don't know/Refused,2,"Yes, have cell phone",,,Landline,Cellphone,,0.4641149
52,71.0,Landline,190320.0,190320.0,1.0,No,English,Midwest,MN,S,Midwest,MN,S,Highest,Central,Complete,Male,White,,,,No,FORM 2,Listed Household,,Satisfied,Approve,,,Disapprove,Some of the time,Frustrated,Only some of the time,,,,,Not even tempered,Well informed,Keeps his promises,Stands up for what he believes in,A good manager,,,,,,,,Keep spending the same,,,,,,,"Yes, keeping promises",,About the right amount,Statement #1,Statement #1,Statement #2,Statement #2,Statement #1,,Good deal,,Good for the U.S. [OR],More important to the U.S. [OR],Favor,Sometimes fair game [OR IS IT],Some,Some,Some,,,Some,Some,Some,,Moderately fair,Some,A lot,A lot,A lot,A lot,Losing influence,Bad thing,Neutral toward religion,Neutral toward religion,Neutral toward religion,Should keep out of political matters,Approve,Not so strongly,Somewhat well,A little,,Probably done things that are unethical,A few times a month,Male,82.0,Two year associate degree from a college or university,No,White,White non-Hispanic,,Protestant,,Somewhat important,"No, would not",A few times a year,"50 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Rep/lean Rep,Conservative,Cons Rep,Cons Rep/ln Rep,2.0,2.0,2,"Yes, have cell phone",,,Landline,Cellphone,,0.574028
